,Hepatocyte,LSEC,PVEC,CVEC,Cholangiocyte,Kupffer cell,Stellate cell,Fibroblast,Mesothelial cell,B cell,Portal LAM,Other immune cells
Pdgfrb,0.0,0.0,0.0,0.0,0.0,0.0,6.5,5.6,0.0,0.0,0.0,0.0
Pecam1,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Plpp1,0.0,3.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prox1,4.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reln,0.0,0.0,0.0,0.0,0.0,0.0,7.5,4.1,0.0,0.0,0.0,0.0
Rspo3,0.0,0.0,0.0,6.3,0.0,0.0,3.9,2.2,0.0,0.0,0.0,0.0
Sds,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sirpa,0.0,3.6,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0
Slc40a1,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0
Sox9,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7
Spp1,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,7.3,0.0
Stab2,0.0,4.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Svep1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0
Timd4,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0
Tmem119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0
Trem2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Upk3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0
Vsig4,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
Vwf,0.0,0.0,4.6,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wnt2,0.0,3.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wnt9b,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,7.2,0.0,0.0,0.0
